Date,Time Boarded,Line,Name,Direction,Bus,Stop Boarded,Stop Alighted,Time Alighted,Comments,Transfer,Mode
2022-12-12,17:57,24,Sherbrooke,West,38-099,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,18:03,,F,
2022-12-13,13:23,24,Sherbrooke,East,38-086,Sherbrooke / Robert-Bourassa ,Sherbrooke / De l'Hôtel-de-Ville,13:29,,F,
2022-12-13,22:39,144,Av. des Pins,West,31-041,des Pins / Parc,des Pins / Côte-des-Neiges,22:45,,F,
2022-12-14,16:39,24,Sherbrooke,West,26-043,Sherbrooke / Peel,Sherbrooke / Côte-des-Neiges,16:44,,F,
2022-12-14,21:05,144,Av. des Pins,East,29-055,Dr-Penfield / Côte-des-Neiges,des Pins / Parc,21:11,No dash on back ID code,F,
2022-12-15,0:40,144,Av. des Pins,West,29-055,des Pins / Parc,des Pins / Côte-des-Neiges,0:45,Same as before!,F,
2022-12-20,13:41,24,Sherbrooke,East,39-019,Sherbrooke / Côte-des-Neiges,Sherbrooke / R.-Bourassa,13:51,,F,
2022-12-20,15:43,24,Sherbrooke,West,31-237,Sherbrooke / Hutchison,Sherbrooke / Côte-des-Neiges,15:52,,F,
2022-12-20,18:37,144,Av. des Pins,East,30-157,Dr-Penfield / Côte-des-Neiges,des Pins / Saint-Urbain,18:47,Fully open des Pins!,F,
2022-12-20,21:06,144,Av. des Pins,West,31-022,des Pins / Saint-Laurent ,des Pins / Côte-des-Neiges,21:14,,F,
2022-12-23,15:42,144,Av. des Pins,West,31-110,des Pins / Saint-Laurent,des Pins / Côte-des-Neiges,15:49,,F,
2022-12-26,16:03,129,Côte-Sainte-Catherine,South,30-097,Côte-Sainte-Catherine / Laurier,Bleury / Sainte-Catherine,16:15,,F,
2022-12-26,17:13,80,Parc,North,31-824,Station Place-des-Arts,Monument Sir-George-Étienne-Cartier,17:21,,F,
2022-12-26,18:56,144,Av. Des Pins,West,29-027,des Pins / Saint-Laurent,des Pins / Côte-des-Neiges,19:05,No dash on back ID number,F,
2023-01-03,21:35,144,Av. Des Pins,East,31-017,Dr-Penfield/ Côte-des-Neiges,des Pins / De l'Hôtel-de-Ville,21:42,First of the New Year!,F,
2023-01-04,0:03,144,Av. Des Pins,West,31-017,des Pins / Saint-Laurent,des Pins / Côte-des-Neiges,0:10,,F,
2023-01-04,17:18,24,Sherbrooke,West,38-015,Sherbrooke / Mansfield,Sherbrooke / Côte-des-Neiges,,,F,
2023-01-04,22:36,144,Av. Des Pins,East,30-145,Dr-Penfield / Côte-des-Neiges,des Pins / Saint-Urbain,22:42,,F,
2023-01-06,12:51,24,Sherbrooke,East,38-001,Sherbrooke / Saint-Mathieu,Université McGill,12:56,,F,
2023-01-06,14:27,24,Sherbrooke,West,31-115,Sherbrooke / Peel,Sherbrooke / Côte-des-Neiges,14:30,,F,
2023-01-06,20:27,747,YUL Aéroport / Centre-Ville,West,31-005,Station Lionel-Groulx, YUL Aéroport Montréal-Trudeau,20:48,,F,
2023-01-06,21:15,747,YUL Aéroport / Centre-Ville,East,29-156,YUL Aéroport Montréal-Trudeau,Station Lionel-Groulx,21:42,,F,
2023-01-07,17:17,55,Saint-Laurent,North,30-205,Saint-Laurent / Sainte-Catherine,Saint-Laurent / Duluth,,,F,
2023-01-07,18:12,144,Av. Des Pins,West,31-022,des Pins / Saint-Urbain,des Pins / Côte-des-Neiges,18:21,,F,
2023-01-08,16:14,24,Sherbrooke,East,38-019,Université McGill,Sherbrooke / de Bleury ,,,F,
2023-01-10,19:28,24,Sherbrooke,East,39-036,Sherbrooke / St-Mathieu,Sherbrooke / Peel,19:32,,F,
2023-01-10,23:20,15,Sainte-Catherine,West,31-077,de Maisonneuve / Robert-Bourassa,de Maisonneuve / Guy,23:24,,F,
2023-01-12,11:00,144,Av. des Pins,East,29-029,Dr-Penfield / Côte-des-Neiges,des Pins / de l'Hôtel-de-Ville,11:11,Busy!,F,
2023-01-13,16:50,55,St-Laurent,South,29-056,St-Urbain / Rachel,Station Place-des-Arts,16:57,,F,
